id,prices,date,market_caps
filecoin,38.77935490648974,2021-06-22,3161299607.2291436
filecoin,41.176506458868,2021-06-23,3344865671.985743
filecoin,48.96379950249699,2021-06-24,3970919116.318395
filecoin,47.96286399723519,2021-06-25,3919188190.800563
filecoin,44.17849742284399,2021-06-26,3635704516.802288
filecoin,44.23222007668529,2021-06-27,3622423900.5997033
filecoin,47.04610265878609,2021-06-28,3883067459.287191
filecoin,47.37042321158972,2021-06-29,3919795897.341622
filecoin,54.217944997036426,2021-06-30,4530139961.491422
filecoin,51.062413751645664,2021-07-01,4277027498.6158895
filecoin,48.24939265539221,2021-07-02,4063535852.1428375
filecoin,48.40492448329279,2021-07-03,4090975362.8984375
filecoin,49.549018991709815,2021-07-04,4199742489.810252
filecoin,49.86464511429466,2021-07-05,4256085214.1721177
filecoin,47.5582915167088,2021-07-06,4075536730.1042047
filecoin,48.12183284969955,2021-07-07,4128986715.699546
filecoin,47.939497187257686,2021-07-08,4129289595.3368626
filecoin,45.64754053934241,2021-07-09,3939450745.38754
filecoin,46.704030850218984,2021-07-10,4039296685.4888864
filecoin,45.88556854512811,2021-07-11,3979776368.6924224
filecoin,46.507817249354694,2021-07-12,4042589645.093839
filecoin,44.446970863962825,2021-07-13,3868123303.6933937
filecoin,43.1876138533896,2021-07-14,3772072270.410101
filecoin,42.048212980459105,2021-07-15,3676757702.993524
filecoin,39.86641870801228,2021-07-16,3530021815.57461
filecoin,38.85073888141969,2021-07-17,3451588525.9324675
filecoin,38.64572759110644,2021-07-18,3444616056.1193504
filecoin,39.9217451293525,2021-07-19,3562092545.4309807
filecoin,38.260470240533365,2021-07-20,3428312489.2461653
filecoin,35.26937772542515,2021-07-21,3168767978.4610043
filecoin,39.445906682460176,2021-07-22,3538438770.3855476
filecoin,38.7764879654351,2021-07-23,3498087986.119136
filecoin,40.20288320883536,2021-07-24,3633176417.0074987
filecoin,42.01853459534603,2021-07-25,3807016272.2278585
filecoin,41.90872315984108,2021-07-26,3804537143.5108504
filecoin,41.44046014581541,2021-07-27,3784372821.1554785
filecoin,41.83535688226106,2021-07-28,3820317174.360248
filecoin,41.75677080391116,2021-07-29,3825385533.3151174
filecoin,41.487140951617874,2021-07-30,3821961675.2929063
filecoin,43.218080074789505,2021-07-31,3998882194.7817116
filecoin,44.04117888900418,2021-08-01,4080682679.8432527
filecoin,45.35148996842684,2021-08-02,4217690680.273482
filecoin,46.04721024079325,2021-08-03,4304709621.083129
filecoin,45.90019304576047,2021-08-04,4316029413.842316
filecoin,47.717600441617996,2021-08-05,4513614483.006724
filecoin,48.803746867742994,2021-08-06,4605333979.109973
filecoin,54.741206558452625,2021-08-07,5190180341.695143
filecoin,59.251222879634646,2021-08-08,5623706858.3702345
filecoin,54.72737728609071,2021-08-09,5199825547.135343
filecoin,57.66773918412705,2021-08-10,5402572719.704886
filecoin,56.9349089073808,2021-08-11,5423268510.331503
filecoin,61.52502187113066,2021-08-12,5864708264.658399
filecoin,58.29285960651837,2021-08-13,5582733170.135641
filecoin,63.247838694380064,2021-08-14,6036532611.87409
filecoin,61.47387513165639,2021-08-15,5928357585.8245
filecoin,62.03059393473798,2021-08-16,5975436618.233912
filecoin,62.31282981824458,2021-08-17,6092243475.36312
filecoin,59.29031523333837,2021-08-18,5820482701.996944
filecoin,58.06439099878802,2021-08-19,5694013963.87949
filecoin,59.81608193826042,2021-08-20,5856317360.436096
filecoin,62.42042449754779,2021-08-21,6129859966.690292
filecoin,66.66210647469094,2021-08-22,6596201941.135821
filecoin,66.18748019880061,2021-08-23,6557103069.046754
filecoin,68.01727043168538,2021-08-24,6733829814.206923
filecoin,63.70775124968828,2021-08-25,6326161539.895722
filecoin,65.31400253365813,2021-08-26,6516607540.719074
filecoin,62.19845775095299,2021-08-27,6198352590.008066
filecoin,63.64823438246268,2021-08-28,6353399737.218364
filecoin,62.72248404813594,2021-08-29,6269810676.2490635
filecoin,62.561594027599405,2021-08-30,6271758901.311483
filecoin,60.52654422251735,2021-08-31,6073449878.240113
filecoin,64.34074570110072,2021-09-01,6487401633.758685
filecoin,66.41477922357923,2021-09-02,6714340985.232897
filecoin,65.2996337645231,2021-09-03,6614420505.516801
filecoin,65.39001756651689,2021-09-04,6626626553.534779
filecoin,79.94066674231406,2021-09-05,8178450503.736727
filecoin,95.60182603586209,2021-09-06,9781374073.812284
filecoin,89.76260089075932,2021-09-07,9150028316.202066
filecoin,71.21913731819271,2021-09-08,7349469628.906616
filecoin,74.57222168205962,2021-09-09,7723662306.2948065
filecoin,74.87331176847229,2021-09-10,7742295991.915004
filecoin,69.82549014999208,2021-09-11,7227737165.888427
filecoin,69.175267456041,2021-09-12,7160030401.379708
filecoin,71.05389042563293,2021-09-13,7389517602.144296
filecoin,66.64619029763588,2021-09-14,6936064487.464769
filecoin,68.39763750162817,2021-09-15,7293026382.410599
filecoin,72.98152475570738,2021-09-16,7753400648.246724
filecoin,71.81392056437606,2021-09-17,7676651317.8279505
filecoin,73.22902430844064,2021-09-18,7898007204.14354
filecoin,71.95718893447734,2021-09-19,7747524723.456679
filecoin,71.29995358280338,2021-09-20,7700584350.702732
filecoin,63.63892668772965,2021-09-21,6891248677.270774
filecoin,58.844890945889205,2021-09-22,6362345812.304787
filecoin,63.665960588860294,2021-09-23,6935646794.310753
filecoin,63.50033441567025,2021-09-24,6947216719.675503
filecoin,53.90804356538208,2021-09-25,5912755715.132726
filecoin,51.77198708452888,2021-09-26,5669329031.192998
filecoin,47.6492520948083,2021-09-27,5211797751.17987
filecoin,50.614407107742515,2021-09-28,5622150371.372941
filecoin,47.46811400468272,2021-09-29,5237859984.673973
filecoin,49.31415532998635,2021-09-30,5406573612.079336
filecoin,51.933567561962874,2021-10-01,5684538405.583554
filecoin,61.897252543956064,2021-10-02,6788332539.430888
filecoin,60.363945403596134,2021-10-03,6615815651.837009
filecoin,59.568520094753275,2021-10-04,6538366970.268815
filecoin,59.89744104540583,2021-10-05,6627163700.116408
filecoin,61.36642222446269,2021-10-06,6781480286.677797
filecoin,62.461976338145696,2021-10-07,6901507571.305049
filecoin,61.97694179238387,2021-10-08,6851947131.993228
filecoin,68.72058280911816,2021-10-09,7607218617.75796
filecoin,66.29685940839833,2021-10-10,7341946177.003691
filecoin,60.31697678141274,2021-10-11,6719710329.326853
filecoin,63.55486397682803,2021-10-12,7066420345.476163
filecoin,60.19324364631525,2021-10-13,6749818800.853588
filecoin,58.94725702224995,2021-10-14,6609555747.638426
filecoin,60.619673431455546,2021-10-15,6820376530.696671
filecoin,58.21284471223786,2021-10-16,6584491176.688803
filecoin,57.58645476535542,2021-10-17,6543181944.774955
filecoin,54.66798534471828,2021-10-18,6198230862.493668
filecoin,54.47453543002453,2021-10-19,6208925156.093382
filecoin,54.34073342697656,2021-10-20,6226684360.090316
filecoin,57.595325897099585,2021-10-21,6624965051.402118
filecoin,54.88002834689445,2021-10-22,6342719903.473225
filecoin,56.90294878553866,2021-10-23,6599293153.540603
filecoin,56.014932982578436,2021-10-24,6519714853.057729
filecoin,53.98180304207006,2021-10-25,6297181685.760365
filecoin,55.327607400133935,2021-10-26,6487668344.305214
filecoin,54.30898356389324,2021-10-27,6418963260.967209
filecoin,47.79083063416365,2021-10-28,5628741861.213789
filecoin,49.81054667004369,2021-10-29,5847981870.05629
filecoin,51.88797829426618,2021-10-30,6138686980.462045
filecoin,51.85925317174415,2021-10-31,6098902268.556313
filecoin,55.83276188774883,2021-11-01,6649555723.959317
filecoin,55.175139307827706,2021-11-02,6511504257.348846
filecoin,55.975227301499686,2021-11-03,6685615545.924726
filecoin,55.23106996107843,2021-11-04,6611741836.147766
filecoin,54.29876166440754,2021-11-05,6477797977.237346
filecoin,55.21511605115848,2021-11-06,6643931113.017999
filecoin,53.7325949028207,2021-11-07,6450825604.973584
filecoin,54.28272458687869,2021-11-08,6530927600.7700405
filecoin,55.67413445105656,2021-11-09,6763209355.352881
filecoin,57.6670675249427,2021-11-10,7048470150.794115
filecoin,55.46271037888308,2021-11-11,6764629738.825729
filecoin,55.0591633223397,2021-11-12,6741516655.234194
filecoin,55.17667943805695,2021-11-13,6744710385.611169
filecoin,55.195343816123014,2021-11-14,6784284393.937806
filecoin,55.03133568385249,2021-11-15,6760761400.27846
filecoin,53.80643040258225,2021-11-16,6646427050.807163
filecoin,49.89545215051004,2021-11-17,6161686133.348205
filecoin,49.783278358116746,2021-11-18,6115586813.549744
filecoin,45.54603826210337,2021-11-19,5619287372.044968
filecoin,47.907403615117325,2021-11-20,5901178234.345216
filecoin,48.43296432667732,2021-11-21,5987580052.343975
filecoin,47.48578215967961,2021-11-22,5885160527.815576
filecoin,46.10843409986356,2021-11-23,5862527998.9409685
filecoin,46.05924041564635,2021-11-24,5877078719.192678
filecoin,44.96209704961858,2021-11-25,5725828572.964129
filecoin,49.33529632630693,2021-11-26,6345018583.327108
filecoin,46.488685813766885,2021-11-27,5973011256.505679
filecoin,50.630779261797635,2021-11-28,6498007075.986518
filecoin,49.98267465086482,2021-11-29,6443904219.221403
filecoin,48.5748966865073,2021-11-30,6303668256.758839
filecoin,47.377325672953674,2021-12-01,6159360532.085512
filecoin,48.06419429090099,2021-12-02,6260176979.0923
filecoin,47.475633906135045,2021-12-03,6215622078.545661
filecoin,43.96619941517438,2021-12-04,5782992423.850198
filecoin,36.18116255778727,2021-12-05,4784131223.935925
filecoin,34.57268018296909,2021-12-06,4544838232.318446
filecoin,34.344333574135355,2021-12-07,4604702218.788597
filecoin,34.7410037881848,2021-12-08,4672695726.672375
filecoin,36.51302468681602,2021-12-09,4924703094.846922
elrond-erd-2,20.1991069110289,2021-01-01,301325727.31552905
elrond-erd-2,21.485108902734748,2021-01-02,321952363.3053656
elrond-erd-2,21.363087257204263,2021-01-03,320767774.4747096
elrond-erd-2,22.159407181383205,2021-01-04,337886607.3435353
elrond-erd-2,24.456995908113214,2021-01-05,413130314.8483365
elrond-erd-2,27.604252847807523,2021-01-06,467279827.7070054
elrond-erd-2,31.207199559792205,2021-01-07,525692806.396577
elrond-erd-2,30.33814039084949,2021-01-08,512666825.2382977
elrond-erd-2,30.61769160689662,2021-01-09,519077452.87271607
elrond-erd-2,30.340188591606875,2021-01-10,518681450.08771
elrond-erd-2,29.865666377792014,2021-01-11,506766737.7817007
elrond-erd-2,26.87630097704102,2021-01-12,456656972.34917176
elrond-erd-2,26.005387244680186,2021-01-13,441326041.94580907
elrond-erd-2,28.769795960532306,2021-01-14,487469335.88971305
elrond-erd-2,31.11201233687179,2021-01-15,527278436.7715922
elrond-erd-2,30.731845943324487,2021-01-16,522190734.51490617
elrond-erd-2,30.550668435245882,2021-01-17,520324176.84423167
elrond-erd-2,31.127449052015113,2021-01-18,531881923.24371576
elrond-erd-2,32.63964754718724,2021-01-19,554458277.678642
elrond-erd-2,31.085214373734367,2021-01-20,531732017.44869953
elrond-erd-2,31.992777499028957,2021-01-21,545504696.1073991
elrond-erd-2,30.689900393316062,2021-01-22,524969463.9672655
elrond-erd-2,30.609014482996525,2021-01-23,522883292.3844135
elrond-erd-2,30.450222648987396,2021-01-24,518988062.6970001
elrond-erd-2,34.13067132324695,2021-01-25,581818322.2958384
elrond-erd-2,41.40929039347492,2021-01-26,703356104.0562427
elrond-erd-2,39.87861549320858,2021-01-27,681112535.2600555
elrond-erd-2,44.20168805845818,2021-01-28,749641070.0731018
elrond-erd-2,48.758621185438074,2021-01-29,834628771.6893885
elrond-erd-2,50.72593328457539,2021-01-30,871000419.3383323
elrond-erd-2,53.19105702071496,2021-01-31,907126284.1476352
elrond-erd-2,52.27465602544374,2021-02-01,895030684.4596161
elrond-erd-2,54.64428775932096,2021-02-02,935386065.7321271
elrond-erd-2,53.33038647218,2021-02-03,914251502.0642633
elrond-erd-2,56.467037052290095,2021-02-04,963315382.543514
elrond-erd-2,61.711151446766316,2021-02-05,1059169382.9264585
elrond-erd-2,73.79138283577102,2021-02-06,1254658324.964063
elrond-erd-2,79.82668025015948,2021-02-07,1362843332.5245812
elrond-erd-2,114.3741924044032,2021-02-08,1936965137.6745906
