date,000001_ss,399001_sz,imoex_me,aord,axjo,bfx,bsesn,buk100p,bvsp,dji,fchi,ftse,gdaxi,gspc,gsptse,hsi,ipsa,ixic,jkse,jn0u_jo,klse,ks11,merv,mxx,n100,n225,nya,nz50,rut,sti,stoxx50e,ta125_ta,twii,vix,xax
2020-07-06,3332.881103515625,12941.7197265625,2835.179931640625,6125.89990234375,6014.60009765625,3473.179931640625,36487.28125,626.25,98937.0,26287.029296875,5081.509765625,6285.89990234375,12733.4501953125,3179.719970703125,15669.7001953125,26339.16015625,,10433.650390625,4988.8662109375,3207.360107421875,1576.9000244140625,2187.929931640625,43339.69140625,37884.76171875,1008.0499877929688,22714.439453125,12160.009765625,11743.73046875,1442.8800048828125,2689.610107421875,3350.030029296875,1371.010009765625,12116.7001953125,27.940000534057617,2028.7900390625
2020-07-07,3345.3369140625,13163.98046875,2825.2099609375,6126.7001953125,6012.89990234375,3462.830078125,36674.51953125,617.1300048828125,97761.0,25890.1796875,5043.72998046875,6189.89990234375,12616.7998046875,3145.320068359375,15595.5,25975.66015625,,10343.8896484375,4987.08203125,3199.429931640625,1566.719970703125,2164.169921875,42497.6015625,37837.390625,1002.6400146484376,22614.689453125,11990.1396484375,11707.26953125,1416.0,2661.419921875,3321.56005859375,1365.1700439453125,12092.9697265625,29.43000030517578,2016.43994140625
2020-07-08,3403.43994140625,13406.3701171875,2815.830078125,6034.2998046875,5920.2998046875,3418.909912109375,36329.01171875,613.4500122070312,99770.0,26067.279296875,4981.1298828125,6156.2001953125,12494.8095703125,3169.93994140625,15629.2001953125,26129.1796875,,10492.5,5076.173828125,3257.510009765625,1583.5,2158.8798828125,42747.55078125,37483.87890625,994.9299926757812,22438.650390625,12086.3896484375,11440.8798828125,1427.4000244140625,2669.489990234375,3286.090087890625,1343.8299560546875,12170.1904296875,28.07999992370605,2004.6500244140625
2020-07-09,3450.593994140625,13754.740234375,2782.429931640625,6074.89990234375,5955.5,3393.610107421875,36737.69140625,602.739990234375,99160.0,25706.08984375,4921.009765625,6049.60009765625,12489.4599609375,3152.050048828125,15568.599609375,26210.16015625,,10547.75,5052.7939453125,3276.110107421875,1583.25,2167.89990234375,,36795.94921875,985.3300170898438,22529.2890625,11928.6298828125,11394.8603515625,1398.9200439453125,2652.64990234375,3261.169921875,1340.93994140625,12192.6904296875,29.26000022888184,1970.780029296875
2020-07-10,3383.322021484375,13671.240234375,2800.93994140625,6036.2998046875,5919.2001953125,3442.06005859375,36594.328125,607.239990234375,100032.0,26075.30078125,4970.47998046875,6095.39990234375,12633.7099609375,3185.0400390625,15713.7998046875,25727.41015625,,10617.4404296875,5031.255859375,3279.89990234375,1591.8399658203125,2150.25,,36465.4609375,993.7000122070312,22290.810546875,12075.580078125,,1422.6800537109375,,3296.219970703125,,12073.6796875,27.290000915527344,1977.9100341796875
2020-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,11434.7900390625,,,,,,,
2020-07-13,3443.285888671875,14149.1396484375,2766.7900390625,6089.2998046875,5977.5,3478.27001953125,36693.69140625,616.0599975585938,98697.0,26085.80078125,5056.22998046875,6176.2001953125,12799.9697265625,3155.219970703125,15639.400390625,25772.119140625,,10390.83984375,5064.44677734375,3344.56005859375,1606.4300537109375,2186.06005859375,43237.01171875,36389.390625,1007.969970703125,22784.740234375,12014.669921875,11494.1396484375,1403.5699462890625,2631.080078125,3350.0,1366.469970703125,12211.5595703125,32.189998626708984,1967.5400390625
2020-07-14,3414.618896484375,13996.4599609375,2744.5400390625,6045.5,5941.10009765625,3457.77001953125,36033.05859375,614.97998046875,100440.0,26642.58984375,5007.4599609375,6179.7998046875,12697.3603515625,3197.52001953125,15908.5,25477.890625,,10488.580078125,5079.1220703125,3277.510009765625,1598.75,2183.610107421875,44001.8984375,36190.91015625,997.47998046875,22587.009765625,12014.669921875,11610.51953125,1428.260009765625,2620.18994140625,3321.389892578125,1346.510009765625,12209.009765625,29.520000457763672,1967.5400390625
2020-07-15,3361.303955078125,13734.1298828125,2747.909912109375,6160.39990234375,6052.89990234375,3500.8701171875,36051.80859375,628.1099853515625,101791.0,26870.099609375,5108.97998046875,6292.7001953125,12930.98046875,3226.56005859375,16063.2998046875,25481.580078125,,10550.490234375,5075.7978515625,3354.43994140625,1585.56005859375,2201.8798828125,45120.58984375,36590.26171875,1013.3599853515624,22945.5,12391.3203125,11505.0595703125,1478.27001953125,2648.89990234375,3378.2099609375,1383.449951171875,12202.849609375,27.76000022888184,2044.7099609375
2020-07-16,3210.09912109375,12996.33984375,2760.010009765625,6123.0,6010.89990234375,3499.300048828125,36471.6796875,623.5,100553.0,26734.7109375,5085.27978515625,6250.7001953125,12874.9697265625,3215.570068359375,16024.5,24970.689453125,,10473.830078125,5098.3740234375,3318.06005859375,1573.47998046875,2183.760009765625,45245.23046875,36465.671875,1008.5999755859376,22770.359375,12350.1103515625,11584.0498046875,1467.56005859375,2623.669921875,3365.35009765625,1374.8399658203125,12157.740234375,28.0,2035.43994140625
